reference_transcriptions,generated_transcriptions
and then i emailed my department, that I emailed my department.
i was in the political science department, I was in the political science department.
and said," and said,"
okay we're gonna have a panel on campus, We're going to have a panel on campus.
we're gonna invite the community, We're going to invite the community.
and we're going to explain what is going on, and we're going to explain what is going on.
in be we're gonna explain all of it, And we're going to explain all of that.
we're gonna explain the the ramifications of it, going to explain the amplification of it.
we're gonna talk about the history of afghanistan, We're gonna talk about the history of...
we're gonna explain exactly what is going on here, going to explain exactly what is going on here.
and everybody got back to me immediately, And everybody got back to me and maybe it was.
i mean they everyone responded and said," I mean, everyone responded and said,"
yeah i'd be happy to talk about this, and be happy to talk about this.
and i'd be happy to talk about the sanctions in iraq that are going on currently, I'd be happy to talk about the sanctions in Iraq that are going on currently.
and maybe that's related to what's going on with the the the the bombers that are, and maybe that's related to what's going on with the bombers that are
we all we knew at that point that they were coming from the middle east and that they were attacking the united states and the pentagon and the world trade center as symbols of empire and the western culture i guess," all we knew at that point that they were coming from the Middle East and that they were attacking the United States and the Pentagon and the World Trade Center as symbols of empire and the Western culture, I guess."
and and how it is that we're, and how it is that we're going to work.
why they were enemies with us, I think were enemies with us.
so yeah it all came together really quickly," So, yeah, it all came together really quickly."
i went to bed at one o'clock in the morning, I went to bed at one o'clock in the morning.
finally got an email back from my friend in dc who was fine, Finally got an email back from my friend in DC who was buying
and got up went to campus the next day," and got up, went to campus the next day."
and all the the lectures were just scrapped, and all the lectures were just scrapped.
and all we did is talk about what happened in every single class hour after hour after hour after hour after hour," And all we did is talk about what happened in every single class, hour after hour, after hour, after hour, after hour."
okay alright well that's that's a lot there," All right, that's a lot there."
but yeah, Yeah.
it was a great panel by the way, It was a great power by the way.
i think we had five hundred people, and I think we had 500 people.
we had standing room standing standing," standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing, standing,"
what am i trying to say, am I trying to save?
standing, standing
people hadta stand in the back, People had to stand in the back.
but what i'm trying to say is standing room onlyq, what I'm trying to say is stand
i have all these phrases that i useta be able to say, I've all these phrases that I used to be able to say.
and i start to say them, I start to say that.
and i forget what they are in the middle, and I forget what they are in the middle.
standing room only, Standing room only.
yeah, Yeah.
we filled up the place basically and had lots of questions, filled up the place basically. Wow. Lots of questions.
and everybody's question, everybody's question.
why do they hate us, of behaviors.
and that's what we began with, and that's what we began with.
so yeah alright, Yeah.
yeah other than i missed the whole thing because of course i was online writing a lecture that i never gave because you know circumstances took over from where we were," other than I missed the whole thing because of course I was online writing a lecture that I never gave because you know circumstances took over. Yeah, where we were."
well it seems to be taking place in a neighborhood a neighborhood which is relatively in the suburbs because the homes are relatively close to each other," Well, it seems to be taking place in a neighborhood, a neighborhood which is relatively in the suburbs, because the homes are relatively close to each other."
and it looks like what's going on is a boy is in the backyard, and it looks like what's going on is a boy is in the backyard.
and he's playing with his soccer ball, he's playing with his soccer.
he's practicing his kick, He's practicing his character.
and unfortunately this time the ball does not go where he hoped it would go and crashes into the window," And unfortunately, this time, the ball does not go where he hoped it would go and crashes into the window."
and it looks like it might have been the window of his next door neighbor, And it looks like it might have been the window of his next door neighbor.
but it could have been his father too, It could have been his father too.
it's difficult to know, difficult to know.
but it was a window that was next to the yard in which he was playing with his soccer ball, but it was a window that was next to the yard in which he was playing with his soccer ball.
well it hit the the glass of the window and broke it," Well, it hit the glass of the window and broke it."
and unfortunately there was a man that was sitting in the chair right next to the window," And unfortunately, there was a man that was sitting in the chair right next to the window"
and the soccer ball not only broke the window but went through completely into the the house," And the soccer ball not only broke the window, but went through completely into the house."
so apparently they have no screens from what i'm guessing, So apparently they have no screens from what I'm guessing.
so it can't be wisconsin because we have mosquitoes here, So it can't be Wisconsin because we have mosquitoes here.
in any case the ball ended up in the house in the room directly where the man was sitting," In any case, the ball ended up in the house, in the room, directly where the man was sitting."
and he was not pleased about this, And he was not pleased about this.
he stood up and looked out the window to try to figure out who had broken the window, He stood up and looked out the window to try to figure out who had broken the window
where did the ball come from, Where did the ball come from?
and who is the person who had directed that ball toward his window, and who is the person who had directed that ball toward his window.
he's it's clearly that there's going to be some kind of ramifications as a result of this, It's clearly that there's going to be some kind of ramifications as a result of this.
because if it's his son his son is going to be scolded," because if it's his son, his son is going to be schooled."
and if it's his neighbor he's gonna expect an apology and probably some sort of payment to repair the the glass that's been broken," And if it's his neighbor, he's going to expect an apology and probably some sort of payment to repair the glass that's been broken."
so drama in the suburbs, So drama in the suburbs.
well we're gonna title this story mother knows best which is a a play on the fact that there apparently was a much older television show which was called father knows best which i think is from the nineteen fifties or sixties," Well, we're going to title this story Mother Knows Best, which is a play on the fact that there apparently was a much older television show which was called Father Knows Best."
and it was very patriarchal, and it was very patriotic.
and you know the father leaves," You know, the father leaves."
the mother is the housewife, mother is the housewife.
father knows best, of father knows best.
in any case this particular story is gonna be mother knows best which is probably significantly more contemporary and maybe universal in the sense that mothers generally i would say as a general rule know better than their children," So in any case, this particular story is going to be Mother Knows Best, which is probably significantly more contemporary and maybe universal in the sense that mothers generally, I would say as a general rule, no better than their children."
not always but in this particular case that's exactly what's happening," not always, but in this particular case, that's exactly what's happening."
and and what's going on is this child and this child's mother is debating over whether this boy needs to take an umbrella with him when he leaves, And what's going on is this child and this child's mother is debating over whether this boy needs to take an umbrella with him when he leaves.
because they're getting ready for the boy to go off on his own, and the mother is saying because they're getting ready for the boy to go off on his own.
and the mother is saying," and the mother is saying,"
based upon what we see with the clouds that are outside in the the sky and what we see on the weather reports it looks like it's gonna rain," upon what we see with the clouds that are outside of the sky and what we see on the weather reports, it looks like it's going to rain."
so i think you should take an umbrella, So I think you should take an umbrella.
and the little boy is going like, and the little boy is going like...
i am not taking an umbrella, I'm not taking an umbrella.
i don't need one, I don't need one.
i don't care if it rains, I don't care if it rains.
i'm not gonna melt, I'm not gonna melt.
i i'm fine on my own, I'm fine on my own.
so she says, So she said.
well alright you know best," Well, all right, you know best."
she says goodbye to him, She says goodbye to him.
he leaves, He leaves.
she's still holding the umbrella, she's still holding the umbrella.
he heads out, He heads out.
and it's not just a sprinkle, And it's not just a sprinkle.
but it really really starts to rain really hard," but it really, really starts to rain really hard."
it's a downpour, It's a downpour.
and he doesn't have a hat, And he doesn't have a hat.
so the rain is getting his eyes, So the rain is getting inside.
and he's getting really really really wet," and he's getting really, really, really wet."
and his clothes are getting drenched and saturated with the water, as clothes are getting drenched and saturated with the water.
so he gets about half a block, So he gets about half a block.
and he can't even see what's going on, and you can't even see what's going on.
so he heads back to his mother very quickly, So he heads back to his mother very quickly.
she looks at him, She looks at him.
she has the grace not to say, She has the grace not to say
i told you so, told you so.
because mothers know best, because mother's no best.
and they know that that never works, and they knew that that never worked.
and he stands there and looks at her, And he stands here and looks at her.
and she hands him the umbrella, shape and some of the umbrella.
and he heads off again, me. Head soft again.
and this time remembering in his brain, this time remembering in his brain.
my mother's not always wrong about everything, My mother's not always wrong about everything.
and let but of course he forgets it by the next week when something else comes up," And let, but of course he forgets it by the next week when something else comes up."
but where we are in this week he is now assured that his mother actually has wisdom which he does not yet have," Where we are in this week, he is now assured that his mother actually has wisdom which he does not yet have."
alright mother knows best," All right, mother knows best."
well speaking of drama in the neighborhood," Well, speaking of drama in the neighborhood."
what had happened here began because the cat was sitting on the porch, What had happened here began because the cat was sitting on the porch.
and the cat has the right to sit sit on the the porch, And the cat has the right to sit on the porch.
but the next door neighbor has the dog, But the next door neighbor has to dodge.
and the dog came out and immediately saw the cat and ran over and started barking at the cat, And the dog came out and immediately saw the cat and ran over and started barking at the cat.
and the cat was spooked, and the cat was spooked.
so the cat ran from the the dog and ran up the tree because that was close, So the cat ran from the dog and ran up the tree because that was close.
and that was a way to get away from the dog because the dog couldn't climb," and that was a way to get away from the dog, because the dog couldn't climb."
so the cat climbed up the tree, So the cat climbed up the tree.
but it's a young cat, to see young cats.
it's a cat that's just barely a kitten and isn't really accustomed to being that high up, It's a cat that's just barely a kitten and isn't really accustomed to being that high up.
so the cat crawled up, So the cat crawled up.
the little girl ran out saw her cat was up in the tree and called her father and said," The little girl ran out, saw her cat was up in the tree and called her father and said,"
my cat is up in the tree, cat is up in the tree.
and she's out on the far limbs, And she's out on the bar.
and it doesn't look like she's finding her way to get back out because she's meowing you know very loudly and clearly wants to be rescued, and it doesn't look like she's finding her way to get back out because she's meowing very loudly and clearly wants to be rescued.
so please help me, So please help me.
please help me get my cat out of the tree, Please help me get my cat out of the tree.
well the father's trying to be chivalrous and big hero, The father is trying to be chivalrous and the hero.
so he immediately goes into the garage and finds his ladder, So he immediately goes into the garage and finds his last
and the plan for him was he would simply be able to climb up the the ladder get to the tree inch his way up to the limb where the cat was grab it probably put it inside his shirt crawl down and hand it to his daughter," And the plan for him was he would simply be able to climb up the ladder, get to the tree, inch his way up to the limb where the cat was, grab it, probably put it inside his shirt, fall down and hand it to his daughter."
and then he could be you know the hero," and then he could be, you know, the hero."
he could fulfill his daughter's request, he could fulfill his daughter's request.
well unfortunately he got up in the tree," Unfortunately, he got up in the tree."
and the he hadn't securely rested the ladder against the tree in the way he really needed to, And he hadn't securely rested the ladder against the tree in the way he really needed to.
and it fell down, and it's held back.
so now we have two people that hafta be rescued from the tree, So now we have two people that have to be rescued from the tree.
we have the cat that is still meowing loudly out in the far limbs," We have the cat that is still meowing loudly out in the far, when it's not moving."
and of course the father can't reach it because he's his weight is too heavy to be able to move into those limbs without breaking them down," And of course, the father can't reach it because his weight is too heavy to be able to move into those limbs without breaking them down."
and then he would fall down and get hurt, and then he would fall down and get hurt.
so at this point the mother who knows best has called the fire department and said," So at this point, the mother, who knows best, has called the fire department and said,"
we've got a cluster fuck going on here, We've got a sister fuck going on here.
that that isn't what she said, That doesn't want to change that.
but that's what she thought in her brain because she didn't say the words in front of her children because she doesn't want them to know about profanity, but that's what she thought in her brain because she didn't say these words in front of her children because she doesn't want them to know about profanity.
can you please bring, Can you please bring
unfortunately we now need help from firefighters to not only get the cat out of the tree but my husband who tried to climb up to help rescue the the cat," Unfortunately, we now need help from firefighters to not only get the cat out of the tree, my husband, who tried to climb up to help rescue the cat."
and my daughter is still sobbing because she's worried about the cat, And my daughter is still sobbing because she's worried about the cat.
and now she's worried about her dad, And now she's worried about her death.
and the dog is still barking, And the dog is still barking.
now at this point what she should be doing is she's about ready, She should be doing is she's about ready.
because the firefighters are here, the firefighters are here.
and they're coming over, they're coming over.
and they're going to help the man get down first, and they're going to help the man get down first.
and then they're going to reach out and get the cat, and they're going to reach out and get the cash.
and what the mother's gonna do is she's gonna go and grab the dog and put him in the other room so that everybody will relax a bit, and what the mother's gonna do is she's gonna go and grab the dog and put him in the other room so that everybody will relax a bit.
and everybody can make it out of the tree without getting hurt, and everybody can make it out of the tree without getting hurt.
the end, the end.
and what we're essentially looking for here is economic mobility and social mobility and what the criteria is that women have to possess in order to improve their situation in society, And what we're essentially looking for here is economic mobility and social mobility. And what the criteria is that women have to possess in order to improve their situation in society.
so we're gonna start with that, So we're going to start with that.
and this is an example of the very restrictive roles that were available to women in certain cultures in certain societies, And this is an example of the very restrictive roles that were available to women in certain cultures and certain societies.
now what we're seeing here are a family which is relatively middle class, Now what we're seeing here are a family which is a relatively middle class.
and the in both cases what we had were two families with children," And the in both cases, what we had were two families with children."
and each of them had a spouse that died, and each of them had a spouse that died.
the husband had one daughter who was living with him, The husband had one daughter who was living with him.
but his wife had died, but his wife had died.
so he had a a young daughter who was about six years old, So he had a young daughter who was about six years old.
and again in a european society of nineteenth century men could not raise their own children," again in a European society of, we'll go back to, we'll say 19th century, men could not raise their own children."
they had to have a woman, had to have a woman.
that was her role, That was her role.
people were relatively rigid in terms of what they were allowed to do, people were relatively rigid in terms of what they were allowed to do.
so he hadta find a wife in order to care for his daughter, So he had to find a wife in order to care for his daughter.
on in a another part of town relatively same social status we have man and woman a man and and wife who had two children," in another part of town, relatively same social status. We have a man and women, a man and wife, who had two children."
and he died, and he does.
so the only way that she would be able to survive as a female is to find a widower or find another man that would marry her, So the only way that she would be able to survive as a female is to find a widower or find another man that would marry her.
so they're both out looking for another spouse, So they're both out looking for another.
and they meet each other, and they meet each other.
and of course what the widower is looking for is someone that will take care of his house will treat his daughter as a mother and you know will do all the other things that women are supposta do and that men don't do because we have very restricted very very different differentiated social roles that they operate in this society," And of course, what the husband is looking for, the widower is looking for, is someone that will take care of his house, will treat his daughter as a mother, and, you know, will do all the other things that women are supposed to do and that men don't do because we have very restricted, very, very different, differentiated social roles that they operate in this society."
so they meet each other, So they meet each other.
and he's gotten the impression that she's gonna be a wonderful wife, And he's gotten the impression that she's going to be a wonderful wife.
she's certainly gushes all over his daughter, She certainly gushes all over his daughter.
and so they they marry, And so they married.
there are now three children two daughters from her original family his daughter named cinderella from his family," There are now three children, two daughters from her original family, his daughter named Cinderella from his family."
and they've now blended into this new society, they've now blended into this new society.
the father then fulfills his role which is go out and make money for the family and leaves the house under the management of the stepmother," The father then fulfills his role, which is go out and make money for the family and leaves the house under the management of the stepmuff."
the stepmother on the other hand has not fulfilled her promise to mother the stepdaughter but instead has decided that she's she's going to favor her birth daughters and is going to treat the other stepdaughter as if she's a maid," The stepmother, on the other hand, has not fulfilled her promise to mother the stepdaughter, but instead has decided that she's going to favor her daughters, her birth daughters, and is going to treat the other stepdaughter as if she's a maid."
and for whatever reason the father does not interfere in what he sees when he is home," And for whatever reason, the father does not interfere in what he sees when he is home."
and so what we have is this this really terrible society this really terrible situation that exists for cinderella," And so what we have is this really terrible society, this really terrible situation that exists for Cinderella."
cinderella again had had a a beautiful mother who loved her, Cinderella again had had a beautiful mother who loved her.
she was close to her father, She was close for her father.
she lost her mother, She lost her mother.
and now she's also in this situation where she's clearly treated differently than her stepsisters stepsisters, now she's also in this situation where she's clearly treated differently than her step daughters.
semantic paraphasic error, semantic paraphrase error.
happens all the time, happens all the time.
anyway moving on," Anyway, moving on."
again they live in a society," Again, they live in society."
there's no way that women can improve their their position in this society except through marriage, There's no way that women can improve their position in this society except through marriage.
it's the only possible option to them, is the only possible option to them.
and so their primary role growing up is to learn how to manage a house and also be attractive to the heterosexual partners that are available to them, And so their primary role growing up is to learn how to manage a house and also be attractive to the heterosexual partners that are available to them.
and i don't know what happens if they're not heterosexual, And I don't know what happens if they're not heterosexual.
i i guess they just fake it, I guess they just fake it.
in any case that's not part of this particular story," In any case, that's not part of this particular story."
she's straight, She's straight
and so that's one complication she doesn't have to deal with, And so that's one complication she doesn't have to deal with.
in any case on the other side of the city at a higher class is royalty," In any case, on the other side of the city, at a fire glass is"
and again while the prince has essentially a lot of economic power and he's at the top of his cultural and social status he's also obligated to marry," And again, while the prince has essentially a lot of economic power, and he's at the top of his cultural and social status, he's also obligated to marry."
because the plan is that he will marry a wife and that wife will then bear him children, because the plan is that he will marry a wife and that wife will then bear him children.
and those children then means that there will be a lineage that will continue on to the next generation, those children then means that there will be a lineage that will continue on to the next generation.
so he may not wanna get married, So he may not want to get married.
and we don't really know what his gender identity is or orientation is, and we don't really know what his gender identity is or orientation is.
but he's he understands what his job is, but he understands what his job is.
he hasta find a woman, has to find a one.
he hasta find a partner, he has to find a part.
and his plan is to find someone who's relatively attractive while he fulfills the obligations of his office in the restrictive social structure in which they exist, And his plan is to find someone who's relatively attractive while he fulfills the obligations of his office in the restrictive social structuring which they exist.
so the plan is he's gonna get this over with quickly, So the plan is he's going to get this over with quickly.
is they're gonna have this huge dance this huge ball," they're going to have this huge dance, this huge ball."
and everyone in the kingdom, Everyone in the Kim family.
i i'm assuming we're pretty much middle class and above, I'm assuming we're pretty much middle class and above.
he's not really going to the peasant track class, He's not really going to the peasant class.
that's not part of this at all, That's not part of this at all.
is inviting all of the eligible females who are not married who would like to be married to come and audition for him so that he can walk through and make his choices," is inviting all of the eligible females who are not married, who would like to be married, to come and audition for him so that he can walk through and make his"
and again this is clearly degrading," And again, this is clearly..."
it's almost like that bachelor show which i've never seen and never would see," It's almost like that bachelor show, which I've never seen and never would see."
but i certainly know aware of it, But I certainly know where it is.
that the women are gonna be tested and graded and chosen out of a a line of other available women to be able to be the one that he is deciding he's going to mate with permanently, that women are going to be tested and graded and chosen out of a line of other available women to be able to be the one that he is deciding he's going to make with her.
so anyway all three of these women the two stepsisters and cinderella all know that they are eligible," So anyway, all three of these women, the two stepsisters and Cinderella, all know that they are eligible."
and they all start thinking about how wonderful their the situation would be if they get chosen, And they all start thinking about how wonderful the situation would be if they get
and again what's interesting is we're not talking about love," And again, what's interesting is we're not talking about love."
we're not talking about you know likeness," We're not talking about, you know,"
we're not talking about people that are compatible with each other, We're not talking about people that are compatible with each other.
we're talking about they will somehow be attractive enough for this male to choose them," talking about, they will somehow be attractive enough for this male to choose them."
and then their life situation will improve because those are the only options that are available to them, and then their life situation will improve because those are the only options that are available to them.
again it's a very restrictive society in a a certain time in in culture which is very very limiting for female potential," again. It's a very restrictive society in a certain time in culture, which is very, very limiting for female potential."
so they're they're all getting ready, So they're all getting ready.
and they know what they hafta do, they know what they have to do.
they hafta look attractive, and they have to look at track.
so they hafta have a really nice dress, So they have to have a really nice stretch.
and their hair hasta be fixed up, their hair has to be fixed up.
and they hafta somehow make them stand out from the others in order to be chosen in this degrading heterosexual contest that they're going to be entered into, and they have to somehow make them stand out from the others in order to be chosen in this degrading heterosexual contest that they're going to be entered into.
so because the stepmother favors her own daughters she pulls out whatever money they have available," So because the Stem mother favors her own daughters, she pulls out whatever money they have availed."
and she gets them the the the fanciest dresses that you could possibly choose and you know with hairdressers in to get their hair done and their makeup and everything else to get them as gussied up as possible, and she gets them the the the fanciest dresses that you could possibly choose and you know with uh hairdressers in to get their hair done and their makeup and everything else to get them as gussied up as possible.
cinderella pretty much knows that she's on her own, Cinderella pretty much knows that she's on her own.
so she pulls out a book that she got from her mother which has patterns of dresses," So she pulls out a book that she got from her mother, which has patterns of dresses."
and because she's very smart and very creative and because she's had to do a lot of the menial work in the house she knows how to sew," because she's very smart and very creative and because she's had to do a lot of the menial work in the house, she knows how to sew."
so she pulls together some scraps of material that are available to her, So she pulls together some scraps of material that are available to her.
and she puts together this pretty cool dress really," she puts together this pretty cool dress, really."
i mean it's kind of off the shoulder," I mean, it's kind of off the shoulder."
and you know it's kind of pink which kind of plays off her hair," you know, it's kind of pink, which kind of plays off her hair."
and she's ready to go, And she's ready to go.
she's doing the best that she can, She's doing the best that she can.
that's what she has available," hand, that's what she has available."
and she's ready to go, and she's ready to go.
and of course her mother says," And of course her mother said,"
under no circumstances are you being allowed to go, under no circumstances.
you are not of our status, You are not of our standard.
you are of peasantry, You are a peasant.
and you don't have the right clothes for it, you don't have the right clothes for it.
you aren't dressed correctly, You want to dress correctly.
you are not gonna go, You are not gonna go.
my daughters are going to go, My daughters are going to.
and they the stepsisters of course have gotten their cue from their mother," The stepsisters, of course, have gotten their cue from their mother."
and they know to be really really cruel to her," they know to be really, really cool to her."
so they laugh at her, something laugh at her.
and she goes out in the barn to take care of the animals because that's kind of her refuge, She goes out in the barn to take care of the animals because that's kind of her refuge.
that's the place where she can go and get some kind of affection from the other animals, that's the place where she can go and get some kind of affection from the other end.
and she's out there, and she's out there.
and you know she's sad, you know she's
and she's wearing her dress and her, She's wearing her dress and her
you know she doesn't know what she's gonna do, she doesn't know what she's gonna do.
what does she have, What does she have?
what can she possibly do to somehow get out of the miserable situation that she's in, What can she possibly do? What can she possibly do to somehow get out of the miserable situation that she's in?
and this fairy godmother appears to her because she's you know a wonderful person, And this fairy godmother appears to her because she's a wonderful person.
she's giving to other people, giving to other people.
and she deserves this, she deserves this.
so this fairy godmother shows up and said," So this fairy godmother shows up and says,"
why are you crying, There you go.
what's wrong, What's wrong?
what do you need, What do you need?
and she said," And she said,"
i would like to go to the the ball, I would like to go to the ball.
but i want to wear, But I want to wear...
i don't wanna be laughed at, I don't want to be laughed at.
i wanna have the appropriate clothes that i i wear, I want to have the appropriate clothes that I wear.
i wanna be dressed well like everyone else, I want to be dressed well like everyone.
i want to be have the same opportunities that my stepsisters have, I want to have the same opportunities that my stepsisters have.
so she said, So she's.
alright alright, All right.
and she you know uses her her magical abilities and said, And she uses her magical abilities and skills
she looks around, She looks so...
and she transforms the rats into horses that will be pulling a carriage, and she transforms the rats into horses that will be pulling a carriage.
and the court carriage is transformed from a pumpkin, and the court carriage is transformed from a pump.
and she uses her wand and and goes over cinderella's clothes, And she uses her wand and goes over Cinderella's collar.
and all of a sudden she's wearing these ornate detailed highly expensive beautiful dress," and all of a sudden she's wearing these ornate detailed, highly expensive, beautiful dress."
her hair is is made up in the the the latest fashion, her hair is is made up. And the the latest
she's got beautiful makeup on, She's got beautiful makeup on.
she looks gorgeous, She looks gorgeous.
and her fairy godmother says to her," And her very godmother says to her,"
go to the the ball, Go to the ball.
you deserve this, You deserve this.
but please understand that this illusion will only last till midnight, Please understand that this illusion will only last till midnight.
at midnight the horses will be transformed back into rats," At midnight, the horses will be transformed back into rats."
the carriage will be transformed back into a pumpkin, the carriage will be transformed back into a pumpkin.
and the fancy ball dress that you're wearing will be transformed back into rags," And the rags that you're wearing will, or the fancy ball dress that you're wearing will be transformed back into."
so please go, So please go.
have fun, Have fun.
but recognize this is just a moment out of your existence, but recognize this is just a moment out of your existence.
this is a special bubble that that that is hitting your your existence, This is a special bubble that is hitting your existence.
but it's not really gonna change everything, it's not really going to change everything.
but please enjoy your moment, but please enjoy your moment.
so she hugs the fairy godmother, So she hugs the fairy godmother.
she gets in the coach, She gets in the coach.
she's taken to the palace, taken to them.
she gets out, gets
and even her stepsisters don't know who this woman is because she's dressed so magnificently that she stands out, even her stepsisters don't know who this woman is because she's stressed so magnificently that she stands out.
all all the other people that are watching can think of is she must be from a really really rich kingdom," All the other people that are watching, all they can think of, she must be from a really, really rich,"
and we don't know of her, And we don't know of her.
but she must be from a very high social status, she must be from a very high social status.
and she's clearly very beautiful, and she's clearly very beautiful.
i mean the fact that they don't even recognize their own stepsister is pretty telling," I mean, the fact that they don't even recognize their own stepsister is pretty telling."
in any case she walks in," In any case, she walks in."
the prince immediately in his audition you know format sees her and said," Prince immediately in his audition format sees her and said,"
she's the stand out, to stand out.
she's the one, She's the one.
and he heads over to her, and he heads over to work.
and he immediately looks at her, and he immediately looks at her.
he sees that she's also beautiful on top of being clearly wealthy and well dressed," sees that she's also beautiful on top of being well, clearly wealthy and well dressed."
she's also graceful, She's also graceful.
she's a wonderful dancer, She's a wonderful dancer.
they're talking, Thank you.
and there's an automatic connection, There's an automatic.
there's there's chemistry between them, There's chemistry between them.
and he said," And he said,"
he's thinking in his mind, thinking is mine.
i thought this was gonna be awful, I thought this was gonna be awful.
i thought this was going to be a duty," I thought this was gonna be a dirty, a duty."
but i really like her, But I really like her.
and i this is," This is, this is..."
i was hoping for something this magical, I was hoping for something this magical.
i was prepared for something else, I was prepared for something else.
but this this could work, But this could work.
so he wants to spend time with her as much as he can, So he wants to spend time with her as much as he can.
and all of a sudden, all of a sudden.
and she's into it too, she's into it too.
i mean they're they're really connecting," I mean, they're really connected."
and it's just this wonderful vibe, It's just this wonderful vibe.
and then she looks up at the clock and sees that it's five minutes to midnight, And then she looks up at the clock and sees that is five minutes to midnight.
and she knows because of this patriarchal class structure that she lives in as soon as he sees what she really looks like how she's really dressed that she's really not this wealthy noble princess but is just a a a lower middle class female in his kingdom who's wearing rags," And she knows because of this patriarchal class structure that she lives in, as soon as he sees what she really looks like, how she's really dressed, that she's really not this wealthy, noble princess, but is just a lower middle class female in his kingdom who's wearing"
she she knows that that illusion will also be gone, She knows that that illusion will also be gone.
she she's pretty sure that what he really wanted is the the the trapping the appearances all the stuff that goes along with wealth," She's pretty sure that what he really wanted is the trapping, the appearances, all the stuff that goes along with wealth."
so she knows this as soon as he sees who she really is it's gonna be over," So she knows that as soon as he sees who she really is, it's going to be over."
so she races away as quickly as she can because she wants to get away, So she races away as quickly as she can because she wants to get away.
she doesn't wanna see the look in his eye when he sees who she really is and what her real status is and how she's really dressed, She doesn't want to see the look in his eye when he sees who she really is and what her real status is and how she's really dressed.
so he he doesn't understand what happened, So he doesn't understand what happened.
where is she going, Where's she going?
what did he say, What did he say?
did he say something to offend her, Did he say something to a thing?
where is she heading off, I wonder where she heading.
and she races away as quickly as she can so quickly that she trips on her shoe, and she races away as quickly as she can so quickly that she trips and her shoes
she trips, you.
and her shoe falls off, her shoe falls off.
but she doesn't have time to grab it, She doesn't have time to grab it.
she's gotta get going, She's gotta get going.
she's gotta get away, She's gotta get away.
so she makes it around the corner, So she makes it around the corner.
and immediately it happens, and immediately it happens.
the the the ball dress is transformed back into her rags, the wall dress is transformed back into a rag.
the pumpkin luckily she didn't get in it because i don't know what would've happened if she were actually inside the pumpkin, the pumpkin. Luckily she didn't get in it because I don't know what would have happened if she were actually inside the pumpkin.
it's gone, It's gone.
it's a pumpkin, of pocket.
and the the horses are gone, and the horses are gone.
they're rats again, They're rats again.
so she walks home sneaks in the back because you know they don't really care what she's doing," So she walks home, sneaks in the back because they don't really care what she's doing."
she could be out in the the barn or whatever," could be out in the jump, the barn or whatever."
and she remembers her moment, And she remembers her moments.
and she said, She's so.
okay i got to see what it was like to be on the other side of it, I got to see what it was like to be on the other side of it.
maybe i can be content, Maybe I can be content.
or maybe there's some other way that i can get out of here, or maybe there's some other way that I can get out of here.
but at least i had that, at least I had.
at least i know that if i had the appropriate clothes i could walk into a society at that level and i could succeed," least I know that if I had the appropriate clothes, I could walk into a society at that level and I could."
in the meantime he's back in the palace," meantime, he's back in the palace."
he's chasing after her, He's chasing after her.
and at this point it's you know kind of the psychology of of what's going on in his brain is that all these women are throwing themselves at him that all of a sudden this one is playing hard to get because she left, point it's you know kind of the psychology of what's going on in his brain is that all these women are throwing themselves at him that all of a sudden this one is playing hard to get because she left.
