reference_transcriptions,generated_transcriptions
i did get hurt while i was playing hockey, I did get hurt while I was playing hockey.
i broke my collarbone, I broke my collarbone.
it wasn't that bad, It wasn't that bad.
can be, It can be.
but it wasn't bad for me, But it wasn't bad for me.
maybe it wasn't a particularly bad break, Maybe it wasn't a particularly bad
but i remember i came home and i still wasn't feeling great, But I remember I came home and I still wasn't feeling great.
so my dad took me to what was then called evanston hospital which is now part of northwestern medical center from downtown," So my dad took me to what was then called Evanston Hospital, which is now part of Northwestern Medical Center from downtown."
and so i remember i did some xrays and some other things, And so I remember I did some x-rays and some other things.
and they said i had a broken collarbone, they said I had a broken collar
so you know i i think i i actually broke my collarbone, so I I was I think you know I think I actually broke my collarbone
maybe it was only once, Maybe it was only once.
and then i also broke my wrist, And then I also broke my wrist.
but i can't remember exactly how i did that, I can't remember exactly how he did that.
yeah yeah yeah you you can't have a cast on that," Yeah, you can't have a cast on that."
it can be yeah, and the
do you play any sports, you play any sports?
oh wow," Oh, wow."
yeah yeah so did did you do that in college too, I am. So did you do that in college too?
well good," Well, good."
oh yes that's the same thing we saw the last time," Oh, yes. That's the same thing we saw last year."
so it's a story of a young man, So it's a story of a young man.
i would say he's around twelve years old kicking a soccer ball," would say he's around 12 years old, kicking a soccer ball."
and i guess one of the errant kicks went through a plate glass window and landed next to someone who was probably either reading or maybe watching tv, I guess one of the errant kicks went through a plate glass window and landed next to someone who was probably either reading or maybe watching TV
and so he saw the ball coming at him, And so he saw the ball coming at him.
and he he noticed that a lamp had come to rest on beside him, and he noticed that a lamp had come to rest beside him.
and he could he could see the ball coming at him, And I could see the ball coming at him.
so he might have caught the ball, So he might have caught the ball
and then he wasn't sure what to do, and he wasn't sure what to do.
so he saw that the glass was broken, he saw that the glass is broken
so he went over to the window to see what had happened, So we went over to the window to see what had happened.
and i'm assuming that he saw the person who kicked the soccer ball, And I'm assuming that he saw the person who kicked the soccer ball.
but by then perhaps the person with the soccer ball had run away," But then perhaps, but by then perhaps the person with the soccer ball had run away."
so it's the story of a young boy who was on his way to school, So it's the story of a young boy who was on his way to school.
and he wasn't sure that he needed umbrella, he wasn't sure that he needed an umbrella
so he decided that he wouldn't take an umbrella because it maybe didn't look like it was gonna rain, So he decided that he wouldn't take an umbrella because it maybe didn't look like it was going to rain.
but as soon as he stepped outside and started walking a little bit the rain came down," But as soon as she stepped outside and started walking a little bit, the rain came down."
so he went back to his house, he went back to his house
and he he was all wet, and he was all wet
and his mother had a stern look on her face, And his mother had a stern look on his face.
but there was nothing he could do, but there was nothing he could do
so he got some new clothes and went back out into the rain, So he got some new clothes and went back out into the range.
but this time he had an umbrella, But this time he had an umbrella.
this is the picture of a young lady who had a cat stuck up in a tree, This is the picture of a young lady who had a cat stuck up in a tree.
so she she got off her tricycle and saw what must have been her dad," So he, she got off his tricycle and saw, I think what must've been his dad."
and her dad climbed up the tree, his dad climbed up the tree
but then the ladder broke and fell to the ground, and then the ladder broke and fell to the ground.
there is a a puppy who's trying to see if maybe the man or could come down, there is a puppy who's trying to see if maybe the man or could come down
but he he was up there and needed to be rescued by the fire department who came over and was going to get the father down and perhaps i imagine also get the cat down, but he was up there and needed to be rescued by the fire department who came over and was going to get the father down and perhaps I imagine also get the cat down.
got ya, Got you.
well so this is a story about cinderella and her two stepdaughters and her old mother," Well, so this is a story about Cinderella and her two, I think they were probably stepdaughters and her old, um,"
so i believe that cinderella needed some help, So I believe that Cinderella needed some help.
and since she was on her own she was able to get a job with the two stepsisters and the stepmother," And since she was on her own, she was able to get a job with the two stepsisters and the stepmother."
and she was doing a lot of stuff like washing the clothes and cleaning the floors and doing stuff like that and probably also doing the laundry, And she was doing a lot of stuff like washing the clothes and cleaning the floors and doing stuff like that. And probably also doing the laundry.
and then it came to pass that there was a prince who lived in the castle with his father and mother and perhaps some sisters and brothers, then it came to pass that there was a prince who lived in the castle with his father and mother and perhaps some sisters and brothers.
and he he was looking for somebody to fall in love with, And he was looking for somebody to fall in love with.
so they everybody in the town got an invitation to this big party that they were gonna have," So they, everybody in the town got an invitation to this big party that they were going to"
so the two stepsisters dressed up in fine clothes and the mother went with them, So the two stepsisters dressed up in fine clothes and the mother went with them.
and the prince was looking for someone, and they went to the prince. The king was looking for something
and so he he decided to have this party, so she he decided to have this party
and so they were at the party, And so they were at the party
and then a fairy godmother came along and said to the young woman cinderella that cinderella should go to the party too," And then a fairy godmother came along and said to the young woman, Cinderella, that Cinderella should go to the party too."
so she she was able to get a dress and some nice clothing including a some beautiful shoes," So she was able to get a dress and some nice clothing, including some beautiful shoes."
and they they were in somehow invited to the ball, they were they were somehow invited to the wedding
and they came to the ball in a special chariot which had a rider and someone who was in the back," And they came to the wedding in a special chariot, which had a rider. And I think of someone who was in the back."
and and they came out at the at the party," and they came out at the, at the, not the theater, at the party."
and the the the prince was there, and the prince was there
and the prince saw cinderella, and the prince saw Sinjar
and they had a very good time, And they had a very good time.
the the cinderella had been told that she needed to be home by midnight," But the princess, Cinderella had been told that she needed to be home by midnight."
so as the clock struck twelve she knew she hadta get out," So as the clock struck 12, she knew she had to get out."
so she left and left the prince there, So he left and left the prints there.
and as she went out to the carriage the princess cinderella turned back to a like a servant," And as he went out to the carriage, the princess Cinderella turned back into a, to a, like a servant."
a and the prince prince was really upset about what had happened, and the prince was really upset about what had happened
so he he sent his some people from his castle to go out and see if they could find cinderella," So she, he sent some people from the, from the, from his, from, I don't know, his, his, like his war, his, some people from his castle to go out and see if they could find somebody."
and so he went he went to different houses and could not find anybody, and so she went to he went to different houses and could not find anybody
when he went to the house where the two stepsisters lived he was wanting to know if anybody else was there," When he went to the house where the two stepsisters lived, she was wanting to know if anybody else was there."
and somehow i think maybe he figured out that the young lady who was cinderella was in the other room," And somehow, I think maybe he figured out that the young lady who was Cinderella was in the other room."
so he brought out cinderella, he brought out Cinderella
and the shoes fit, and the shoes fit
so he went back to the prince and told him about this person, So he went back to the prince and told him about this person.
and eventually the person became close again with the prince, and eventually the person became close again with the prince.
and and and in the end the prince and cinderella got married," And in the end, the prince and Cinderella got married."
i don't remember what i talked about last week, I don't remember what I talked about last week.
so there was always a clock in my house growing up," Um, so there was always a clock in my house growing up."
and so i i knew pretty easily what time it was, And so I knew pretty easily what time it was.
oh i think i know the story," Oh, I think I know the story."
and so i remember especially in high school that there wasn't really any time i hadta be home," And so I remember, especially in the high school, that there wasn't really any time I had to be home."
so my parents said that you know whenever you get home it's fine," So my parents said that, you know, whenever you get home is fine."
you know obviously not too late but you know you you wanna have a good time," Um, you know, obviously not too late, but you know, you, you want to have a good time."
so especially on friday and saturday nights we useta go out, so especially on Friday and Saturday nights we used to go out we
we useta drink beer in one of my friends' basement and then go out, I used to drink beer in one of my friends' basement and then go out
and so we would go to different parties which was a lot of fun," And so we would go to different parties, which was a lot of fun."
but i always made it home except one time i actually fell asleep at the wheel, but I always made it home except one time I actually fell asleep at the wheel.
but i was driving, but I was I was in the I was I was driving
and one of my friends who was named firstnamet was in the other seat, somebody else named one of my friends who was named T-ball was in the other
and he he yelled at me, And he yelled at me
and i woke up, I woke up.
so it was at a stoplight, and it was it was stoplight
so nothing happened, So nothing happened.
but i was pretty lucky, I was pretty lucky.
so i guess it it's just good to know that a clock is always there knowing what time it is," So I guess it's just good to know that a clock is always there, knowing what time it is."
and hopefully you know i i i then when i was in college i dated a couple different girls where i was from in in in winnetka kennelworth and in wilmette," And hopefully, you know, I then when I was in college, I used to I dated a couple of different girls where I was from in in in Winnetka, Kenilworth and in."
and so i had a job that started at six o'clock in the morning during the summer, And so I had a job that started at six o'clock in the morning during the summer.
so i useta stay out with my friends or at my girlfriend's house until about four in the morning and then go go to work, So I used to stay out with my friends or at my girlfriend's house until about until about four in the morning and then go to work.
or i would come home and get my bike and then go to work, or I would come home and get my bike and then go to work.
so it was fun but it was also pretty exhausting," So it was fun, but it was also pretty exhausting."
i think the only thing i can say about birds is that growing up i pretty much took birds for granted," I think the only thing I can say about birds is that growing up, I pretty much took birds for granted."
and i remember even when i was in undergraduate i went to law school i i mean i never really thought about birds," and I remember even when I was in undergrad and when I went to law school, I mean, I never really thought about Bird"
well i i i guess i should say that i worked a lot in when i was a lawyer," But as I started to get, well, I guess I should say that I worked a lot when I was a lawyer."
and then i went to a company where i was for a long time, And then I went to a company where I was for a long time.
but now that i'm looking for stuff to do one of the things i'm pretty interested in doing is birdwatching," But now that I'm looking for stuff to do, one of the things I'm pretty interested in doing is Birdwatch."
so it's something i'm gonna try to do, So it's something I'm going to try to do.
i i'm sure i told you but maybe i didn't that me and my wife are gonna move to south carolina and in a community there where i feel i can do some birdwatching, I'm sure I told you but maybe I didn't that my that me and my wife were going to move to South Carolina and in a community there where I feel I can do some bird watch
so i'd like to try it, So I'd like to try it.
i hope i'm good at it, I hope I'm good at it.
i hope i know what i'm doing, I hope I know what I'm doing.
but it's important for me to find some hobbies that i can work on and try to get feel feel good about it, but it's important for me to find some hobbies that I can work on and try to get feel feel good about it
oh we've already picked a place," Oh, we've already picked a place."
it's called kiawah kiawah island, It's called Kiowa Island.
have you ever been there, You've ever been there?
it's off the coast of charleston, it's off the coast of um
it's about forty minutes from the charleston airport, about 40 minutes from the Charleston airport.
and it's a beautiful, it's a beautiful
well i don't wanna go into too much detail, I don't want to go into too much detail
but we we we are constructing a place there that's part of a condominium that's right on the beach, but we are constructing a place there that's part of a condominium that's right on the beach.
and so so i my wife is down there right now, And so my wife is down there right now.
so she could actually go into the building which is being constructed, and she was so she could actually go into the building which is being constructed
and she was able to tell me that from where our condominium is placed my wife says that she can actually see the beach you know for the oceans," And she was able to tell me that from where our condominium is placed, my wife says that she can actually see the beach for the ocean."
so for me that was really nice because my i useta have a place in oxford maryland which my wife really liked that i didn't like so much," So for me, that was really nice because I've always, I used to have a place in Oxford, Maryland, which my wife really liked that I didn't like so much."
it was right on the water, right on the water
and so now i feel that i've been able to give something you know," And so now I feel that I've been able to give something,"
some i've wanted to find a place that would be good for her," some, I've wanted to find a place that would be good for her."
and i mean it's gonna be a little hot for me," And I think, I mean, it's going to be a little hot for me."
but i think it's gonna be worth it because it's gonna be a great place for my wife, But I think it's going to be worth it because it's going to be a great place for my wife.
hilton head is it's in south carolina or north carolina, Hilton Head is in South Carolina or North Carolina?
got ya, Bye.
well it's pretty conservative, It's pretty conservative.
and i'm not very conservative so, I'm not very conservative so
but i think it should be good, But I think it should be good.
and we know some people down there who live there, we know some people down there who live there.
so that's gonna be really helpful too, So that's going to be really helpful too.
but the the person i know really well made a fortune in in a company that he was in, But the person I know really well made a fortune in a company that he was in.
so he has a lot of places now all over the world including kiawah," So he has a lot of places now all over the world, including Q1."
well i've stayed in some nice hotels," Well, probably the hotel. I've stayed in some nice hotels."
but probably the nicest hotel i stayed in was for my wedding, But probably the nicest hotel I stayed in was for my wedding.
i married a a law student when i was in law school who lived in washington dc," I married a law student when I was in law school who lived in Washington, D.C.,"
so we got married at the four seasons hotel in georgetown, So we got married at the Four Seasons Hotel in Georgetown.
and that was a real nice place, And that was a real nice place.
we we were able to be there for a couple days, we were able to be there for a couple of days
we had a fair amount of people at our wedding, We had a fair amount of people at our wedding.
i think it was about two hundred, think it was about 200.
and we were able to have a wedding on a sunday afternoon, we were able to have a wedding on a Sunday after
and we had a nice lunch, we had a nice lunch
and then i remember that many of my friends went down to a bar further down in georgetown and with my wife and some friends and had a nice evening there, And then I remember that many of my friends went down to a bar further down in Georgetown and with my wife and some friends and had a nice evening there.
so for me it was a good place," So for me, it was a good place."
but truly i like being home, but truly I like being home.
so i you know i did it," so I, you know, I did it."
it was good, It was good.
but you know i like being where i am now, But I like being where I am now.
well i think i told you about my favorite restaurant in new york right," Well, I think I told you about my favorite restaurant in New York, right?"
the one that i went to for about twenty years, one that I went to for about 20 years.
so i won't talk about that, I won't talk about that.
well here in philadelphia i've gotten to know a few restaurants, well here in Philadelphia I've gotten to know a few restaurants
because i lived here when i first took a job, I lived here when I first took a job
i was a law clerk for a judge in philadelphia, I was a law clerk for a judge in Philadelphia.
and then i lived here for a while before i moved to princeton, And then I lived here for a while before I moved to Princeton.
but one of the places i like to eat a lot although it's gone up in price a little bit is a restaurant called parc parck which is how you spell parc in french," But one of the places I like to eat a lot, although it's gone up in price a little bit, is a restaurant called Parc, P-A-R-C, which is how you spell Parc in French."
and i don't know if i told you," And I don't know if I told you,"
but i useta be able to speak french pretty well, but I used to be able to speak French pretty well.
and i like going there because they have a lot of good food, And I like going there because they have a lot of good food.
it's gotten to be overpriced like so many restaurants," most of which is, again, it's gotten to be overpriced like so many restaurants"
but one thing i really like there is my my they have a hamburger that's really nice," But one thing I really like there is my, they have a hamburger that's really nice."
and it's it can be cooked different ways, And it can be cooked different ways.
and i like my meat very very raw not completely cooked but cooked most of the way," And I like my meat very, very raw, not cooked, not completely cooked, but cooked most of the way."
and it's a really nice place to get a juicy burger and either a salad or some some french fries, it's a really nice place to get a juicy burger and either a salad or some French
if if but the french fries are usually for my wife, But the French fries are usually for my wife.
so i usually wind up getting a a salad, So I usually wind up getting a sale.
but sometimes she makes me order the french fries, sometimes she makes me order the she makes me order the
oh we had this too, We had this too.
well the peanut butter and jelly sandwich for me is pretty easy to make," Well, the peanut butter and jelly sandwich for me is pretty easy to make."
most of my bread is in the freezer, go to the most of my bread is in the freezer
so i take out two pieces of bread, So I take out two pieces of bread.
i like a particular kind of peanut butter that is made at costco which has nothing but peanuts in it," I like a particular kind of peanut butter that is made at Costco, which has nothing but peanuts in it."
when i have a peanut butter jelly sandwich which lately has been occurring a little more frequently for some reason i don't know," And so I usually put when I have a peanut butter and jelly sandwich, which lately has been occurring a little more frequently. For some reason, I don't know."
and then i'll take just about any jelly," And then I'll take just about any jelly,"
but i've found a jelly at wegmans that has three different types of fruit in it," But I've found a jelly at, I think at Wegmans that has three different types of fruit in it."
and so i put that with the peanut butter on a bread that is a a type of wheat bread that i find to be very good, it. And so I put that with some with some with the peanut butter on a bread that is a bread that is a type of wheat bread that I find to be to be very good
so i i'm i'm gonna have a sandwich a little later today, So I'm going to have a sandwich a little later today
but i'm probably gonna have a turkey sandwich, and I'm probably going to have a turkey sandwich.
but yeah i like peanut butter and jelly a lot," But yeah, I like peanut butter and jelly a lot."
and i've got the sandwich down to a science, I've got the I've got the I've got the sandwich down to a science
well we i think i may have told you that we used to live in an apartment that we owned across the hall," Well, we, I think I may have told you that we used to live in an apartment that we owned across the hall."
but we found somebody that we thought we could sell it to, but we found somebody that we thought we could sell it to.
and it turned out that he the two of them bought it at a price that i think was pretty good," And it turned out that he, the two of them bought it at a price that I think was pretty good."
so while we're waiting for the place to be built in kiawah we've moved across the hall where there's a rental unit," So while we're waiting for the place to be built in Kiowa, we've moved, it turns out, across the hall where there's a rental unit."
so and there's a washer and a dryer with the rental with all the," it. So, and there's a washer and a dryer with the rental with all the with all the with all the all the all the"
not the rooms, the room's
all the locations i guess you could say have a washer and a dryer," all the locations, I guess you could say, have a washer and a dryer."
so usually there may be a couple pieces of clothes that may go to the dry cleaner, So usually there may be a couple pieces of clothes that may go to the wire cleaner
but for the most part i will open the washer," but for the most part, I will open the..."
it's a washer that it operates from the side, It's a washer that works. It operates from the side.
so i put all the clothes in which is something i'm still able to do," So I've put all the clothes in, which is something I'm still able to do."
and then i will turn on the washer, And then I will turn on the washer
usually it's on a cold cycle, Usually it's on a cold cycle.
and once it starts moving a little bit i put in the detergent," And once it starts moving a little bit, I put in the detergent."
and for some reason this this washer takes a long time," And for some reason, this washer takes a long time"
but in about an hour it's done," In about an hour, it's done."
and the clothes have always come up pretty clean, the clothes have always come off pretty clean
so i then put them in the dryer, So I then put them in the dry
and that's about another forty five minutes, And that's about another 45 minutes
but usually within two hours the clothes come out and they're ready to be folded which for me takes a while because i only have the one hand," But usually within two hours, the clothes come out and they're ready to be folded, which for me takes a while because I only have the one hand."
so what i've tried to do is just limit the stuff that goes in my closet," So what I've tried to do is just limit the stuff that I like, the stuff that goes in my closet."
and firstnamel's on her own, and Laura's on her own.
yeah she she she her clothes get washed with mine but i can't really put them away," Her clothes get washed with mine, but I can't really put them away."
and she's got a lot more clothing than i do, she's got a lot more clothing than I do.
well i i grew up with a lot of flowers," Well, I grew up with a lot of flowers."
but somehow when i married firstnamel that was not one of the things that she was really interested in," But somehow when I married Laura, that was not one of the things that she was really interested in."
so we we have a few not a lot of fake flowers around our apartment," So we have a few, not a lot of fake flowers around our apartment."
but i had a birthday in march, But I had a birthday in March.
and one of the people i've become very close with is a personal trainer named firstnameg, And one of the people I've become very close with is a personal trainer named Gina.
and so firstnameg's been with me now for about two and a half years," And so Gina's been with me for, I think now, for about two and a half years."
and she got a small plant for me that is the only living plant in this apartment, and she got a small plant for me that is the only living plant in this apartment.
and for some reason, for some region
i i got it at the end of march, got it at the end of
and for some reason the plant is still chugging along," And for some reason, the plan is still chugging along."
it's doing pretty well, It's doing pretty well.
so i feel good that i can keep a plant now for four months," So I feel good that I can keep a plant now for, what is it, four months."
i think the biggest success is is that i don't hafta water it very often," I think the biggest success is, is that I don't have to water it very often."
i can show it to you but i don't know what it is," I can show it to you, but I don't know what it is."
maybe at the end if we have enough time i'll see if i can see it, maybe at the end if we have enough time I'll see if I can see it
but it it i it's just hard for me to see because it's on the window over there, But it's just hard for me to see because it's on the window over there.
are you big on plants, Are you big on plants?
well find the easy ones to start with," Well, find the easy ones to start with."
you hear, Yes.
don't know, Yes.
alright, Bye.
same thing, Same to you.
was good, We're so good.
so, So
oh yeah," Oh, yeah."
this morning, for it.
heh whoa no," Well, no."
i was think of going yeah, Yeah.
well because well well," Well,"
i i don't know, I'm going to go ahead and
it's really, it's
maybe, Amen.
long long time," Oh, oh, darn."
yeah it's probably probably," Yeah, it's probably Probably"
i was, I want to see.
yeah it is," Yeah, it is."
well i was dead," I was, well, I was dead."
you know i was," You know, it was..."
yeah, Thank you.
oh well," Oh, well."
alright, All right.
probably maybe, Hmm. Probably. Maybe.
i don't know, Thank you.
you know after a while it's you know i'm just sitting there going," you know, at once, you know, I'm just sitting and going"
i i do not, I do not know.
i just sit there going, sit there
oh wow, Wow.
yeah, Yeah.
maybe because i i was sitting there going the stroke really good," It's the, cause I've seen everyone stroke really good"
speedgo gas, I think we'll guess
i i was good, It was so good.
know what it is," Lord, it is."
he was the controller, He was the controller.
i am, I do.
the the the speedgo gasoline company, We will be asking you to accompany us.
what it is, What is.
yeah now i was the the controller," Yeah, that was the good trouble."
so you know i'm it's okay you know," So, you know, it's okay, you know."
oh well," Oh, wow."
well maybe okay," Well, we"
i was, Thank you.
oh i was the the the florida," Oh, I was going to say, yeah. What was that?"
yeah pretty good, Thank you.
the the where is the firstnamej, Mm-hmm. Mm-hmm. Mm.
pretty good, Mm-hmm.
yeah, Yeah.
yeah pretty good good, Could be. All right.
it's pretty good, um
you know it's sitting there going, Okay.
yeah, Yeah.
yeah looks good, Yeah.
oh yeah forgot," Mm-hmm. Oh, yeah."
yeah i'm here, Yeah. I'm here. I'm here. I'm here.
okay, We heard it.
i the the, I'm sorry.
brad okay he was kicking the the thing, Brad. Okay. He was kicking the thing.
and was the thing, It was. And.
alright, All right.
the ball then hits the the," Yeah, it's the."
i know what it is this, I know what it is.
i don't know," Oh, no."
no thank you, Okay.
alright, All right.
and it's, And yes.
okay he was the, Okay. Here we go.
okay so, Okay.
those are the, It was a business.
okay, Okay.
it was raining, He was braining.
it was, It was.
okay, Okay.
yeah he was in in," Yeah, it was. In."
and then he goes to the the the," And then he goes,"
yeah i, Yeah.
okay thank you," Okay, thank you."
mhm, Mm-hmm.
aw manco really, I'm
high that was a the firetruck," Hi, that was a fire."
okay, Okay.
he goes to the firemen, He was a farmer.
oh it's sit down with the the the the, I'll just sit down with the
the okay the firemen," Okay. Okay. The fireman,"
okay he was the dad," Okay, he was dead."
and the the the dog, and the dog.
no no he was cat cat, No. It was cat.
okay and over there the cat yeah dog, Okay. And I was wrong.
the cat and the the dog, the cat. Dog
bird birds," Earth, don't."
alright fine, All right.
yeah yeah yeah," Yeah, yeah, yeah."
i know, I know.
alright, All right.
nope i don't," No, I know."
hm alright, All right.
the the prince the, Prince.
yes, Yes.
and he was the go the, Any ones? Good.
he was prince, Peace. Peace.
hey, hey
don't know," Oh, no."
okay," Oh,"
used to, You stay here.
that's good, That's good.
yes, Yes.
i can do that, I can see that.
the strawberries," the corral berries,"
and the the the peanut butter," Again, please. Please, go ahead."
and get some the the bread, and get some bread.
and and the, And.
then you go strawberries," And we go,"
the the peanut butter and bread, and go ahead.
and group here with the thing, and
it happens, It happens.
yeah and the end, Yeah.
kind of, Thank you.
of i was sitting there going," Kind of. Oh, I can't. Right, you said there, how do you speak it?"
yeah, Yeah.
i was dead for a long long long long time," I was there for a long, long, long, long time."
and i sitting there going, I love you. See you later.
i was, I would.
yeah, Yeah.
well maybe maybe i can talk little bit with you you ex," Well, maybe. Maybe I can talk a little bit with you, you know."
that was the the the the, It was the
i can give you that, I can do that.
she was noisy, He was there.
she was noisy, Thank you.
yeah he was," Yeah, he was."
firstnamed did did the, Thank you.
he was the the, Yeah.
he firstnamed, Amen.
i was the, Okay.
firstnamed, Mm-hmm.
firstnamed dead, I did this.
i can do anything," For a long time, I could do anything."
and but now it's the," And now it's, yep."
alright, Bye.
firstnamed is," David, yes. And David."
he's he's a," He's, he's a,"
he was sitting there going fine," It was sitting there going,"
but he was dead, But he was dead. He was dead.
he was the the the the the, He was the
he was dead, Yeah.
he was, Yes.
yeah, Thank you.
yeah anyway," Yeah, you're right."
what else you got yeah, I don't think that's it.
okay please," And you say, hmm."
i was the c p a me, Thank you.
i was a control of the whole company, I was in control of the company.
and the speedway gasoline company was the, and the degree I guess when you go through with the
i was the good, That was a good one here.
i was good, Yeah.
that was the marathon oil, That was the marathon in a while.
same buyer, Same thing.
same different you know, Same difference.
but war and, Okay. Four. And three.
i would sit there going oh oh," Well, we should have that going over."
i would sit there going," Oh, yes."
okay i'm gonna get," Okay, I'm going to get on with you."
and, Yeah.
no you were dead," Oh, I did it."
yeah duh, Yeah. Oh.
okay but i do, OK.
those are good, All right.
are good, you you you
there's a good, it is a group
i was dead, was the head
this one's little, This one is cool.
that one's good, That was good.
but and always good, and over to you
alright, All right.
okay what happened," Okay, what happened?"
okay bye, Okay.
okay, Okay.
alright, Right.
the ball is, Paul.
okay, Okay.
and the crash crash moves up there on the the the over there, And the Christ was a man born in the world. Yeah.
the guy who's going these he was bigger, Thank you.
dan that boy the, And
alright, or
alright alright alright, All right.
the day, Thank you.
the the, Thank you.
yay, the
we're going, Right.
then i was," Again, we're too busy."
the the, Mm. Mm.
alright, All right.
row the compute," So, yeah, I have a good year."
it's on the the computer, It's on the computer.
no way, All right.
alright, All right.
now is going on here, Yeah.
two he bring bring bring the rain rain, Brain.
okay, Okay.
and he was going, and he
oh okay," Oh, okay."
so i'll go up there, Okay.
and then he goes to the other one, We don't say.
and now it's the boy's window, And now I just put those in.
the mama there, Mm-hmm. One more. Yeah.
and the umbrella you need, Thank you. Thank you. Thank you.
yeah okay go do it," Yeah, yeah, go do it."
he computers," Yeah, completely."
okay, Okay.
alright, Right.
the the the firemen and the the the the, Fire.
dad he was sitting the the there, And
he was the cat, Okay.
well the dog, Thank you.
and the the, um
okay, Okay.
nope, and
right, work.
alrightie," Oh, my goodness."
okay, Okay.
the thewith the, to to to
the one two three, No. Peace. No. Peace.
the prince for the, Mm hmm.
yes, Yes.
okay he was always, Okay.
okay and he, Okay.
mouse and stuff like that, Okay.
and the the, Mm hmm.
alright i'm done," Oh, my God."
sorry, Okay.
oh really," Oh, really?"
that's pretty nice, That's pretty good.
and you use bread, Yeah.
and you use bread and and peanut butter," And again, you know,"
and alright alright, And
okay, Yeah.
oh yeah that's pretty nice," Oh, yeah."
i can do that, Thank you.
the the okay the plate, Okay.
and jam, Yeah. Yeah.
and the," Um, uh,"
okay yeah that's right," Okay, yeah, sure."
and the bread bread," Um, what I do?"
and the the the peanut, And you have to be able to do it.
jif the jif jif jif, Okay.
and the the, Okay. Okay. You're not really in there.
alright, Oh.
better than it has bee, better than it has been.
but it's not great, but it's not great.
yes, Yes.
yes, Yes.
first of all i i had a sensation," First of all, I had a sensation."
i i couldn't speak, I couldn't speak.
and then all of a sudden i started speaking again, And then all of a sudden I started speaking again.
and i was two two forty seven over ninety, And I was 247 over 90.
so i asked to see go to the ambulance and go to the the," So, I asked to see, go to the ambulance and go to the"
and when i got there he couldn't find anything wrong with me," And when I got there, he couldn't find anything wrong with me."
but he he thought thought he would put me in a place e, But he thought he would put me in a place
and they put me in, and they put me in.
they hooked me up and did everything, they hooked me up and did everything.
and i was doing fine, And I was doing fine.
i i felt fine, I felt fine.
i was talking fine, I was talking pine.
and the doctor came in and was going to discharge me, and the doctor came in and was going to discharge me.
and i couldn't talk, and I couldn't talk.
and so he goes," And so he goes,"
i think you better stay, I think you better stay.
and then i went," And then, um, I went."
and the nurse was sposta help me go to the restroom but she didn't," And the nurse was supposed to help me go to the restroom, but she didn't."
and i went into the restroom, and I went into the restroom
and i stumbled and fell, and I stumbled and fell.
and they got me up, And they got me out.
and they took me down to do another head scan, and they took me down to do another head scan
and then they hooked me up to a bird airplane and drove me up to methodist, And then they hooked me up to a bird airplane and drove me up to Methodist.
and then it gets kind of flaky, And then it gets kind of flaky.
i'm not real sure, I'm not real sure
i wasn't performing much of anything, I wasn't performing much of anything.
and they kept me overnight, And they kept me overnight.
and the next day i woke up and i i i could mostly talk but not very well, And the next day I woke up and I was mostly talked but not very well.
and i started having all kinds of trouble, And I started having all kinds of trouble.
well i i was in rehab for four or five weeks," Well, I took, I was in rehab for four or five weeks."
and i finally got to the point where i could you know walk with my walker," And I finally got to the point where I could almost, I could, you know, walk with my walker"
and i could speak more terms and you know help me do better," and I could hear, I could speak more terms and, you know, help me do better"
i didn't have any movement of my arm, I didn't have any movement of my arm.
then i went home, then I went home
and i did that for a a year, And I did that for a year.
yeah i i i work with," Yeah, I work with"
well she would help me with my walking and my arm," Well, she would help me with my walking and my"
so she worked one day a week with me on all of those, So she worked one day a week with me on all those.
and then i had three exercises that i did with my legs and my arms and my you know," And then I had three exercises that I did with my legs, my arms, my, you know,"
i didn't do anymore speech mainly because the speech was gonna cost money," Um, as far as the little, um, as far as I didn't do any more, um, see, uh, uh, speech mainly because the speech was going to cost money."
and i don't have money, and I don't have money.
i went to butler for physician assistant," I went to Butler for surgery, for physician assistant."
and i i felt really good about it because when i i was out i could take care of people," And I felt really good about it because when I was out, I could take care of people."
and i worked at camp atterbury, And I worked at Camp Atterbury.
and i we had a lot of people go through there, And we had a lot of people go through there.
and we hooked them up with meds and stuff and physical therapy and just general flu and sickness and things like that, And we hooked him up with meds and stuff and physical therapy and just general flu and sickness and things like that.
so i i really enjoyed that, So I really enjoyed that.
well a boy was playing," Well, a boy was playing"
and he kicked it, and he kicked it
and it hit the window, and it hit the window.
and it came through, And it came through.
and the guy was got up and looked out the window to see what caused the problem," And the guy was, got up and looked out the window to see what hit, what caused the problem."
the mother says," The mother says,"
it's gonna rain, it's going to rain.
and i'm gonna give you a umbrella, and I'm going to give you an umbrella
and he said, and he's
no i don't want it," No, I don't want it."
and so he walked and he walked, And so he walked and he walked.
and he was all drenched, And he was all drenched.
and he came home, And he came home.
and he was all drenched, and he was all drenched.
and his mom said," And his mom said,"
you should've taken the umbrella," you should have taken them, bro."
and then so he took the umbrella and carried it out in the rain, And then so he took the umbrella and carried it out in the rain.
well there was a cat that was up in tree," Well, there was a cat that was up in trees."
and so the guy got up there to try to help get the cat down, And so the guy got up there to try to help get the cat.
there was a girl underneath trying to catch the cat, There was a girl underneath kind of catched a cat.
and then they called for the firetruck, And then they called for the fire truck
and the two guys with the ladder came, and the two guys who the ladder came
the dog was kinda yap yap yapping," The dog was kind of yap, yap, yap."
